author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
,,,University of Oxford,,historian,,
,,,Leiden University,,university teacher,,
,,,Old University of Leuven,,,,
"Hugo, Herman",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Coryn Boel,Q17352432,,,,engraver,,male
"de Brizuela, Inachus",,,,,,,
Andr¨¦ des Freux,Q18736564,France,,,priest,Catholicism,male
,,,,,theologian,,
,,,,,translator,,
"Galle, Cornelius$ $ $bI",,,,,,,
"Swanenburgh, Willem",,,,,,,
Egbert van Panderen,Q2342220,Netherlands,,metal-engraving,engraver,,male
,,,,,metal engraver,,
Otto van Veen,Q785355,Habsburg Netherlands,,art of painting,painter,,male
"Vrientius, Maximus Aemylianus",,,,,,,
Henricus Sommalius,Q1606112,Germany,,,Catholic priest,Catholicism,male
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Franciscus Gomarus,Q931871,Dutch Republic,Jean Sturm Gymnasium,,theologian,Protestantism,male
,,,Heidelberg University,,professor,,
,,,University of Oxford,,university teacher,,
,,,University of Cambridge,,,,
,,,Stift,,,,
"Fabricius, Andreas",,,,,,,
"Bentivoglio, Guido",,,,,,,
Hieronymus Gratianus a Matre Dei,,,,,,,
Joannes a Jesu Maria,,,,,,,
